id,categoria,nivel,pergunta
39,Dinheiro,Alta,"Quem gastaria R$ 500 em delivery em um mês?"
40,Dinheiro,Alta,"Quem ficaria milionário e continuaria reclamando de tudo?"
41,Internet,Médio,"Quem apagaria uma postagem por vergonha depois de cinco minutos?"
42,Internet,Médio,"Quem comentaria na publicação errada?"
43,Internet,Médio,"Quem compartilharia fake news sem perceber?"
44,Internet,Médio,"Quem responderia um story três anos depois?"
45,Internet,Médio,"Quem faria live sem perceber que está ao vivo?"
46,Internet,Médio,"Quem esqueceria o microfone ligado numa reunião?"
47,Internet,Médio,"Quem viraria influencer do nada?"
48,Internet,Médio,"Quem teria um perfil fake só para observar?"
49,Internet,Médio,"Quem postaria um print e esqueceria de esconder o nome?"
50,Internet,Médio,"Quem teria mais chance de virar meme?"
51,Trabalho,Leve,"Quem responderia 'ok' para o chefe sem ler a mensagem?"
52,Trabalho,Leve,"Quem seria promovido sem ninguém entender o motivo?"
53,Trabalho,Leve,"Quem fingiria estar ocupado quando não está fazendo nada?"
54,Trabalho,Leve,"Quem passaria o dia inteiro na copa?"
55,Trabalho,Leve,"Quem faria uma reunião que poderia ser um e-mail?"
56,Trabalho,Leve,"Quem esqueceria o microfone aberto na reunião?"
57,Trabalho,Leve,"Quem usaria IA para fazer todo o trabalho?"
58,Trabalho,Leve,"Quem dormiria no home office?"
59,Trabalho,Leve,"Quem chegaria atrasado e ainda pediria café?"
60,Trabalho,Leve,"Quem mais reclamaria da segunda-feira?"
61,Faculdade,Leve,"Quem copiaria a atividade cinco minutos antes da entrega?"
62,Faculdade,Leve,"Quem esqueceria completamente que tinha prova?"
63,Faculdade,Leve,"Quem faria amizade com o professor?"
64,Faculdade,Leve,"Quem passaria em uma prova sem estudar?"
65,Faculdade,Leve,"Quem mais faltaria às aulas?"
66,Faculdade,Leve,"Quem começaria o trabalho na véspera?"
67,Faculdade,Leve,"Quem apresentaria um trabalho improvisando tudo?"
68,Faculdade,Leve,"Quem dormiria durante a aula?"
69,Faculdade,Leve,"Quem terminaria a faculdade primeiro?"
70,Faculdade,Leve,"Quem mudaria de curso no meio do semestre?"
71,Festa,Médio,"Quem desapareceria da festa e voltaria horas depois?"
72,Festa,Médio,"Quem dançaria mesmo sem saber dançar?"
73,Festa,Médio,"Quem quebraria alguma coisa sem querer?"
74,Festa,Médio,"Quem esqueceria onde deixou o copo?"
75,Festa,Médio,"Quem seria o último a ir embora?"
76,Festa,Médio,"Quem faria amizade com todo mundo da festa?"
77,Festa,Médio,"Quem começaria um karaokê do nada?"
78,Festa,Médio,"Quem dormiria no sofá da casa?"
79,Festa,Médio,"Quem perderia o celular na festa?"
80,Festa,Médio,"Quem inventaria um after às quatro da manhã?"
81,Viagem,Médio,"Quem esqueceria o passaporte?"
82,Viagem,Médio,"Quem perderia o voo chegando cedo ao aeroporto?"
83,Viagem,Médio,"Quem faria a mala uma hora antes?"
84,Viagem,Médio,"Quem se perderia usando GPS?"
85,Viagem,Médio,"Quem esqueceria de reservar hotel?"
86,Viagem,Médio,"Quem toparia qualquer passeio sem perguntar o preço?"
87,Viagem,Médio,"Quem faria amizade com um desconhecido no avião?"
88,Viagem,Médio,"Quem voltaria com excesso de bagagem?"
89,Viagem,Médio,"Quem esqueceria o carregador?"
90,Viagem,Médio,"Quem escolheria o pior lugar para comer?"
91,Escolhas Impossíveis,Alta,"Quem aceitaria viver um ano sem internet por R$ 1 milhão?"
92,Escolhas Impossíveis,Alta,"Quem venderia o videogame por uma viagem?"
93,Escolhas Impossíveis,Alta,"Quem moraria em uma ilha deserta por seis meses?"
94,Escolhas Impossíveis,Alta,"Quem aceitaria ser famoso mesmo perdendo a privacidade?"
95,Escolhas Impossíveis,Alta,"Quem largaria tudo para morar em outro país amanhã?"
96,Escolhas Impossíveis,Alta,"Quem aceitaria trocar de nome por dinheiro?"
97,Escolhas Impossíveis,Alta,"Quem passaria um mês sem tomar banho por muito dinheiro?"
98,Escolhas Impossíveis,Alta,"Quem aceitaria nunca mais usar redes sociais?"
99,Escolhas Impossíveis,Alta,"Quem toparia participar de um reality show?"
100,Escolhas Impossíveis,Alta,"Quem aceitaria ficar um ano sem reclamar de nada?"
101,Amigos FDP,Alta,"Quem venderia você por um ingresso VIP?"
102,Amigos FDP,Alta,"Quem daria uma desculpa absurda para não te ajudar?"
103,Amigos FDP,Alta,"Quem fingiria que não te conhece em público?"
104,Amigos FDP,Alta,"Quem usaria sua Netflix sem pedir?"
105,Amigos FDP,Alta,"Quem pegaria dinheiro emprestado e esqueceria?"
106,Amigos FDP,Alta,"Quem contaria um segredo dizendo 'não conta pra ninguém'?"
107,Amigos FDP,Alta,"Quem faria uma aposta usando seu nome?"
108,Amigos FDP,Alta,"Quem sumiria quando chegasse a hora de limpar a bagunça?"
109,Amigos FDP,Alta,"Quem diria 'tô chegando' ainda saindo de casa?"
110,Amigos FDP,Alta,"Quem te deixaria no vácuo por uma semana?"
111,Egoísmo,Médio,"Quem dividiria a conta calculando até os centavos?"
112,Egoísmo,Médio,"Quem esconderia comida para não dividir?"
113,Egoísmo,Médio,"Quem pegaria a melhor cama da viagem?"
114,Egoísmo,Médio,"Quem comeria a sobremesa de todo mundo?"
115,Egoísmo,Médio,"Quem pediria um pedaço de tudo sem oferecer o próprio prato?"
116,Egoísmo,Médio,"Quem desligaria o ar porque só ele está com frio?"
117,Egoísmo,Médio,"Quem nunca leva nada para o churrasco?"
118,Egoísmo,Médio,"Quem sairia da fila para guardar lugar?"
119,Egoísmo,Médio,"Quem esqueceria de revezar na direção?"
120,Egoísmo,Médio,"Quem deixaria o amigo lavar toda a louça sozinho?"
121,Vergonha,Alta,"Quem tropeçaria entrando na festa?"
122,Vergonha,Alta,"Quem mandaria áudio para a pessoa errada?"
123,Vergonha,Alta,"Quem chamaria alguém pelo nome errado?"
124,Vergonha,Alta,"Quem cairia em um golpe óbvio?"
125,Vergonha,Alta,"Quem enviaria um print para a pessoa do print?"
126,Vergonha,Alta,"Quem esqueceria a câmera ligada?"
127,Vergonha,Alta,"Quem esqueceria a calça no provador?"
128,Vergonha,Alta,"Quem dançaria achando que ninguém está olhando?"
129,Vergonha,Alta,"Quem passaria vergonha tentando impressionar alguém?"
130,Vergonha,Alta,"Quem faria um discurso completamente sem sentido?"
131,Caos,Alta,"Quem apertaria o alarme de incêndio por curiosidade?"
132,Caos,Alta,"Quem mudaria toda a decoração da casa de um amigo como pegadinha?"
133,Caos,Alta,"Quem colocaria sal no café de alguém?"
134,Caos,Alta,"Quem faria um anúncio falso só para ver a reação?"
135,Caos,Alta,"Quem trocaria os nomes dos contatos de alguém?"
136,Caos,Alta,"Quem esconderia todos os controles remotos?"
137,Caos,Alta,"Quem colocaria despertadores para tocar às 3 da manhã?"
138,Caos,Alta,"Quem faria uma pegadinha que deu muito errado?"
139,Caos,Alta,"Quem colocaria glitter na mochila de um amigo?"
140,Caos,Alta,"Quem mudaria a senha do Wi-Fi sem avisar?"
141,Fofoca,Médio,"Quem sabe de tudo antes de todo mundo?"
142,Fofoca,Médio,"Quem descobriria um segredo sem querer?"
143,Fofoca,Médio,"Quem ouviria uma conversa escondido?"
144,Fofoca,Médio,"Quem espalharia uma informação sem confirmar?"
145,Fofoca,Médio,"Quem criaria teorias da conspiração sobre o grupo?"
146,Fofoca,Médio,"Quem perceberia um casal antes de todo mundo?"
147,Fofoca,Médio,"Quem descobriria um namoro secreto?"
148,Fofoca,Médio,"Quem mais gosta de um 'me conta direito'?"
149,Fofoca,Médio,"Quem saberia todos os podres da turma?"
150,Fofoca,Médio,"Quem seria impossível de surpreender porque já sabe de tudo?"
151,Humor Ácido,Alta,"Quem fingiria amnésia para fugir de uma responsabilidade?"
152,Humor Ácido,Alta,"Quem venderia o sofá da própria casa se oferecessem o preço certo?"
153,Humor Ácido,Alta,"Quem esqueceria que convidou gente para a própria festa?"
154,Humor Ácido,Alta,"Quem culparia o cachorro por algo que fez?"
155,Humor Ácido,Alta,"Quem largaria todo mundo para dormir?"
156,Humor Ácido,Alta,"Quem faria amizade apenas por interesse?"
157,Humor Ácido,Alta,"Quem inventaria uma desculpa elaborada em vez de dizer 'não'?"
158,Humor Ácido,Alta,"Quem faria drama por absolutamente qualquer coisa?"
159,Humor Ácido,Alta,"Quem responderia 'kkkk' sem nem ler a mensagem?"
160,Humor Ácido,Alta,"Quem sairia de fininho sem se despedir?"
161,Escolhas Ruins,Alta,"Quem compraria um carro sem pesquisar?"
162,Escolhas Ruins,Alta,"Quem confiaria em um conselho claramente ruim?"
163,Escolhas Ruins,Alta,"Quem clicaria em um anúncio suspeito?"
164,Escolhas Ruins,Alta,"Quem cairia em um golpe de internet?"
165,Escolhas Ruins,Alta,"Quem faria uma tatuagem em uma viagem por impulso?"
166,Escolhas Ruins,Alta,"Quem gastaria tudo em um cassino fictício?"
167,Escolhas Ruins,Alta,"Quem toparia uma aposta claramente perdida?"
168,Escolhas Ruins,Alta,"Quem aceitaria um emprego sem perguntar o salário?"
169,Escolhas Ruins,Alta,"Quem assinaria um contrato sem ler?"
170,Escolhas Ruins,Alta,"Quem compraria algo só porque um influenciador indicou?"
171,Situações,Alta,"Quem seria esquecido em um posto de gasolina durante uma viagem?"
172,Situações,Alta,"Quem conseguiria se perder dentro de um shopping?"
173,Situações,Alta,"Quem esqueceria onde estacionou o carro?"
174,Situações,Alta,"Quem ficaria preso do lado de fora de casa?"
175,Situações,Alta,"Quem pisaria em uma poça logo depois de lavar o tênis?"
176,Situações,Alta,"Quem deixaria o celular cair na privada?"
177,Situações,Alta,"Quem colocaria sal no café achando que era açúcar?"
178,Situações,Alta,"Quem queimaria miojo?"
179,Situações,Alta,"Quem erraria o próprio endereço ao pedir comida?"
180,Situações,Alta,"Quem perderia um voo por estar na cafeteria?"
181,Amigos,Alta,"Quem esqueceria de buscar um amigo no aeroporto?"
182,Amigos,Alta,"Quem diria 'já tô indo' ainda de pijama?"
183,Amigos,Alta,"Quem roubaria sua comida sem pedir?"
184,Amigos,Alta,"Quem terminaria um filme e contaria o final para todo mundo?"
185,Amigos,Alta,"Quem pisaria na grama molhada só para cortar caminho?"
186,Amigos,Alta,"Quem pegaria o último pedaço de bolo e fingiria que não viu?"
187,Amigos,Alta,"Quem nunca devolve o que pega emprestado?"
188,Amigos,Alta,"Quem faria você rir no pior momento possível?"
189,Amigos,Alta,"Quem desapareceria quando chega a hora de pagar a conta?"
190,Amigos,Alta,"Quem convenceria todo mundo a fazer uma ideia ruim?"
191,Caos Total,Alta,"Quem criaria uma teoria absurda e defenderia como verdade?"
192,Caos Total,Alta,"Quem faria um discurso completamente improvisado sem vergonha?"
193,Caos Total,Alta,"Quem sobreviveria mais tempo apenas na base da sorte?"
194,Caos Total,Alta,"Quem aceitaria um desafio sem nem perguntar qual é?"
195,Caos Total,Alta,"Quem seria o primeiro eliminado de um reality show?"
196,Caos Total,Alta,"Quem faria amizade com o segurança da festa?"
197,Caos Total,Alta,"Quem convenceria o grupo a fazer algo completamente sem sentido?"
198,Caos Total,Alta,"Quem provavelmente viraria meme sem querer?"
199,Caos Total,Alta,"Quem tem mais chance de ser lembrado pelas histórias mais absurdas?"
200,Caos Total,Alta,"Quem venceria esse jogo simplesmente porque todo mundo sempre aponta para ele?"
201,Sem Filtro,Alta,"Quem beijaria alguém só por causa de uma aposta?"
202,Sem Filtro,Alta,"Quem apagaria uma mensagem achando que ninguém viu?"
203,Sem Filtro,Alta,"Quem mandaria um áudio de 8 minutos?"
204,Sem Filtro,Alta,"Quem já stalkeou alguém por mais de uma hora?"
205,Sem Filtro,Alta,"Quem criaria uma conta fake para fuçar a vida de alguém?"
206,Sem Filtro,Alta,"Quem ficaria com vergonha de pedir desconto?"
207,Sem Filtro,Alta,"Quem fingiria que não viu alguém conhecido na rua?"
208,Sem Filtro,Alta,"Quem sairia correndo depois de pagar um mico?"
209,Sem Filtro,Alta,"Quem já apagou uma postagem por vergonha?"
210,Sem Filtro,Alta,"Quem choraria vendo um comercial?"
211,Vergonha,Alta,"Quem já enviou mensagem para a pessoa errada?"
212,Vergonha,Alta,"Quem já chamou um professor de mãe ou pai?"
213,Vergonha,Alta,"Quem cairia na frente de uma multidão?"
214,Vergonha,Alta,"Quem já tropeçou sem ter nada no caminho?"
215,Vergonha,Alta,"Quem já ficou preso em uma catraca?"
216,Vergonha,Alta,"Quem já esqueceu o nome de alguém cinco segundos depois de ouvir?"
217,Vergonha,Alta,"Quem já entrou no banheiro errado?"
218,Vergonha,Alta,"Quem já respondeu 'você também' quando o garçom disse 'bom apetite'?"
219,Vergonha,Alta,"Quem já acenou para alguém que não estava acenando para ele?"
220,Vergonha,Alta,"Quem já tentou empurrar uma porta que era de puxar?"
221,Sem Filtro,Alta,"Quem já ficou com ciúmes sem motivo?"
222,Sem Filtro,Alta,"Quem mais demora para responder mensagem porque está pensando na resposta perfeita?"
223,Sem Filtro,Alta,"Quem já fingiu que estava dormindo para não responder?"
224,Sem Filtro,Alta,"Quem já mentiu dizendo 'estou chegando' ainda sem tomar banho?"
225,Sem Filtro,Alta,"Quem cancelaria um rolê em cima da hora?"
226,Sem Filtro,Alta,"Quem já inventou uma desculpa completamente sem sentido?"
227,Sem Filtro,Alta,"Quem já ficou olhando uma pessoa por tempo demais sem perceber?"
228,Sem Filtro,Alta,"Quem seria pego stalkeando alguém?"
229,Sem Filtro,Alta,"Quem já pesquisou o próprio nome no Google?"
230,Sem Filtro,Alta,"Quem apagaria o histórico do navegador toda semana?"
231,Vergonha,Alta,"Quem já mandou print para a pessoa do print?"
232,Vergonha,Alta,"Quem já esqueceu o microfone aberto?"
233,Vergonha,Alta,"Quem já esqueceu a câmera ligada?"
234,Vergonha,Alta,"Quem já riu em um momento completamente inapropriado?"
235,Vergonha,Alta,"Quem já tentou ser discreto e chamou ainda mais atenção?"
236,Vergonha,Alta,"Quem já derrubou comida em alguém?"
237,Vergonha,Alta,"Quem já derrubou bebida no próprio colo?"
238,Vergonha,Alta,"Quem já pagou mico tentando impressionar alguém?"
239,Vergonha,Alta,"Quem já inventou uma história que ficou pior a cada explicação?"
240,Vergonha,Alta,"Quem mais muda de assunto quando está errado?"
241,Sem Filtro,Alta,"Quem aceitaria participar de um reality show por fama?"
242,Sem Filtro,Alta,"Quem venderia o próprio videogame por uma viagem?"
243,Sem Filtro,Alta,"Quem largaria tudo para virar influencer?"
244,Sem Filtro,Alta,"Quem já ficou com vergonha depois de mandar uma cantada?"
245,Sem Filtro,Alta,"Quem seria cancelado por um tweet antigo?"
246,Sem Filtro,Alta,"Quem mais exagera contando uma história?"
247,Sem Filtro,Alta,"Quem faria qualquer coisa por comida?"
248,Sem Filtro,Alta,"Quem toparia aparecer em rede nacional?"
249,Sem Filtro,Alta,"Quem provavelmente já passou vergonha e fingiu que nada aconteceu?"
250,Sem Filtro,Alta,"Quem nunca vai admitir que a resposta certa é ele?"
251,Escolhas Ruins,Alta,"Quem aceitaria R$ 100 para raspar a sobrancelha?"
252,Escolhas Ruins,Alta,"Quem compraria um carro só porque achou bonito?"
253,Escolhas Ruins,Alta,"Quem faria uma tatuagem sem pensar duas vezes?"
254,Escolhas Ruins,Alta,"Quem sairia de casa sem olhar a previsão do tempo?"
255,Escolhas Ruins,Alta,"Quem acreditaria em um coach claramente picareta?"
256,Escolhas Ruins,Alta,"Quem compraria um curso que nunca abriria?"
257,Escolhas Ruins,Alta,"Quem investiria todo o dinheiro em uma ideia maluca?"
258,Escolhas Ruins,Alta,"Quem pisaria no acelerador sem saber para onde está indo?"
259,Escolhas Ruins,Alta,"Quem responderia uma mensagem importante sem ler direito?"
260,Escolhas Ruins,Alta,"Quem aceitaria um desafio claramente impossível?"
261,Escolhas Ruins,Alta,"Quem faria uma aposta que sabia que iria perder?"
262,Escolhas Ruins,Alta,"Quem sairia para viajar com apenas R$ 20 na carteira?"
263,Escolhas Ruins,Alta,"Quem aceitaria comer algo sem perguntar o que é?"
264,Escolhas Ruins,Alta,"Quem largaria um emprego antes de conseguir outro?"
265,Escolhas Ruins,Alta,"Quem compraria algo só porque um influenciador recomendou?"
266,Escolhas Ruins,Alta,"Quem confiaria em um desconhecido rápido demais?"
267,Escolhas Ruins,Alta,"Quem entraria em uma furada dizendo 'vai dar certo'?"
268,Escolhas Ruins,Alta,"Quem faria uma compra parcelada só porque a parcela ficou pequena?"
269,Escolhas Ruins,Alta,"Quem tomaria uma decisão importante em cinco minutos?"
270,Escolhas Ruins,Alta,"Quem toparia um desafio sem nem ouvir as regras?"
271,Humor Ácido,Alta,"Quem venderia a própria alma por Wi-Fi grátis para sempre?"
272,Humor Ácido,Alta,"Quem sobreviveria a um apocalipse completamente por sorte?"
273,Humor Ácido,Alta,"Quem seria demitido no primeiro dia?"
274,Humor Ácido,Alta,"Quem seria preso por engano?"
275,Humor Ácido,Alta,"Quem esqueceria o próprio filho no supermercado em um filme de comédia?"
276,Humor Ácido,Alta,"Quem colocaria fogo no miojo?"
277,Humor Ácido,Alta,"Quem conseguiria perder um objeto que está na própria mão?"
278,Humor Ácido,Alta,"Quem pediria ajuda para abrir uma porta automática?"
279,Humor Ácido,Alta,"Quem cairia no mesmo golpe duas vezes?"
280,Humor Ácido,Alta,"Quem passaria vergonha e continuaria como se nada tivesse acontecido?"
281,Humor Ácido,Alta,"Quem teria um documentário chamado 'Era Óbvio Que Ia Dar Errado'?"
282,Humor Ácido,Alta,"Quem pisaria em uma poça logo depois de comprar um tênis branco?"
283,Humor Ácido,Alta,"Quem convenceria o grupo a fazer uma ideia horrível?"
284,Humor Ácido,Alta,"Quem faria amizade com um golpista sem perceber?"
285,Humor Ácido,Alta,"Quem gastaria dinheiro para economizar dinheiro?"
286,Humor Ácido,Alta,"Quem faria um tutorial ensinando algo que nem sabe fazer?"
287,Humor Ácido,Alta,"Quem criaria um problema tentando resolver outro?"
288,Humor Ácido,Alta,"Quem ficaria famoso pelo motivo mais vergonhoso possível?"
289,Humor Ácido,Alta,"Quem seria protagonista de um vídeo 'fails'?"
290,Humor Ácido,Alta,"Quem transformaria uma situação simples em um desastre completo?"
291,Humor Ácido,Alta,"Quem pisaria na bola justamente quando precisava causar uma boa impressão?"
292,Humor Ácido,Alta,"Quem faria uma entrada triunfal e cairia cinco segundos depois?"
293,Humor Ácido,Alta,"Quem provavelmente teria o pior histórico de decisões do grupo?"
294,Humor Ácido,Alta,"Quem conseguiria quebrar algo sem nem tocar direito?"
295,Humor Ácido,Alta,"Quem faria uma promessa impossível e ainda acreditaria nela?"
296,Humor Ácido,Alta,"Quem seria cancelado por uma piada ruim?"
297,Humor Ácido,Alta,"Quem começaria um projeto gigante e abandonaria na metade?"
298,Humor Ácido,Alta,"Quem perderia uma discussão mesmo estando certo?"
299,Humor Ácido,Alta,"Quem conseguiria transformar um dia tranquilo em um caos?"
300,Humor Ácido,Alta,"Quem teria mais histórias que começam com 'você não vai acreditar no que aconteceu'?"
